eventid	country	region	provstate	city	crit1	crit2	crit3	doubtterr	alternative	multiple	success	suicide	attacktype1	targtype1	targsubtype1	corp1	target1	natlty1	gname	guncertain1	individual	nperps	nperpcap	claimed	claimmode	weaptype1	weapsubtype1	nwoundte	property	propextent	propvalue	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	ransom	hostkidoutcome	nreleased
-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0
201501010003	113	10	Benghazi	Benghazi	1	1	1	0		0	1	0	3	17	94	Haftar Militia	204 Camp	113	Shura Council of Benghazi Revolutionaries	0	0	-99	0	0		6	11		-9			0								
201501010008	95	10	Nineveh	Tayaran	1	1	1	0		0	0	0	1	2	15	Council of Representatives of Iraq	Residence of Member: Ujayl al-Yawur	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		6	16	0	1	3	-99	0								
201501010009	95	10	Al Anbar	Al-Baghdadi	1	1	1	0		0	0	0	2	14	75	Baghdadi Area	Area	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		5	5		0			0								
201501010010	209	10	Istanbul	Istanbul	1	1	1	0		0	0	0	2	3	25	Turkish National Police (EGM)	Officers	209	Devrimici Halk Kurtulus Cephesi (DHKP/C)	0	0	1	1	1	7	6	7	0	0			0								
201501010012	4	6	Kapisa	Kortas	1	1	1	0		0	0	0	1	2	15	Wolesi Jirga	Motorcade of Member: Wakil Habib Afghan	4	Taliban	0	0	-99	0	1	7	6	8	0	1	3	-99	0								
201501010014	93	5	Papua	Utikini Baru	1	1	1	0		0	1	0	2	3	23	Indonesian National Police (INP)	Patrol	93	Free Papua Movement (OPM-Organisasi Papua Merdeka)	0	0	-99	0	0		5	5	0	0			0								
201501010017	153	6	Balochistan	Sibi	1	1	1	0		0	1	0	3	4	39	Frontier Corps (FC)	Vehicle	153	United Baloch Army (UBA)	0	0	-99	0	1	2	6	29	0	1	4	-99	0								
201501010025	214	9	Luhansk	Staryi Aydar	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010026	214	9	Luhansk	Zolote	1	1	1	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010027	214	9	Donetsk	Vuhlehirsk	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010028	214	9	Luhansk	Popasna	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010030	214	9	Donetsk	Chermalyk	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010031	214	9	Donetsk	Debaltseve	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
